ADA	comp63790_c0_seq3
GHRL	amisp028737
PDZK1	amisp011937
WWOX	amisp003450
ARID4B	comp68956_c3_seq1
CD244	amisp013088
LUC7L3	amisp000069
PECAM1	amisp008539
RTEL1	amisp007407
HIGD1B	amisp007782
ERAP1	amisp011857
TMEM8B	amisp007014
CDK12	comp68992_c3_seq5
C9orf78	amisp012367
SERPINF1	amisp028464
SYT17	amisp013335
ATP8A2	amisp026400
RAB8B	amisp026557
INPP5K	amisp020743
GNG13	amisp007620
MST4	comp70737_c4_seq10
TM7SF3	amisp025348
RSF1	amisp018623
ZAK	comp70489_c7_seq2
MYOZ2	amisp022245
KDM3B	amisp011339
PENK	amisp003962
ATP5G3	amisp021906
ASIC5	amisp024420
SIX4	amisp010239
COQ3	comp53033_c0_seq2
TUBA8	amisp024813
PHAX	amisp006182
GALNT7	amisp027446
CECR1	amisp024828
PEPD	amisp015725
PER1	amisp027346
PET112	amisp029384
PEX1	amisp021723
PEX6	comp69371_c0_seq5
PEX7	comp63085_c0_seq1
PEX10	amisp015430
PEX12	amisp007559
PEX13	amisp009672
PEX14	amisp011786
PFAS	amisp027340
CFP	amisp010819
ACP1	comp57444_c1_seq2
PFDN1	amisp023648
PFDN2	amisp018083
PFDN4	amisp006853
PFDN5	amisp034406
ATP8B1	amisp014377
PFKFB2	comp68450_c0_seq7
PFKFB3	comp67528_c1_seq2
ATP5I	amisp002227
PFKFB4	amisp026755
PFKL	amisp013364
VIT	comp66412_c0_seq3
PFKM	amisp032721
PFKP	comp57630_c0_seq2
PFN1	amisp028605
PFN2	comp69972_c7_seq36
CDK14	amisp019757
ATP5J	comp68662_c2_seq1
PGAM1	comp63048_c0_seq1
PGAM2	amisp014422
PGC	amisp003299
PGD	amisp014497
PGF	amisp007140
PGGT1B	amisp016952
ATP6V1A	amisp002824
PGK1	amisp008071
PGM1	amisp016097
PGM3	amisp007855
PGM5	amisp021229
PGR	amisp017718
ABCB4	amisp002979
PHB	amisp032027
ATP6V1B1	comp70197_c0_seq1
SLC25A3	amisp007706
PHEX	amisp005694
PHF1	amisp024137
PHF2	amisp025877
PHKA1	comp69923_c0_seq21
PHKA2	comp68675_c1_seq3
PHKB	comp69946_c5_seq4
ATP6V1B2	amisp002628
PHKG1	amisp029650
PHKG2	amisp002585
PHYH	amisp027433
SERPINA1	amisp028863
SERPINB5	amisp014751
SERPINB6	amisp001095
ATP6V0C	amisp030933
SERPINE2	amisp024544
SERPINB10	amisp001096
SERPINI1	amisp023353
PIGA	comp57989_c0_seq1
PIGC	comp46425_c0_seq1
ATP6V1C1	amisp034747
PIGF	amisp009616
PIGH	amisp001529
PIGR	amisp009380
PIK3C2A	amisp022132
PIK3C2B	comp70960_c0_seq2
PIK3C2G	amisp005072
PIK3C3	amisp003055
ATP6V1E1	amisp024822
PIK3CA	amisp020166
PIK3CB	amisp021973
PIM1	amisp025029
PIK3CD	comp69139_c0_seq1
PIK3CG	amisp019445
PIK3R1	amisp019581
PIK3R2	amisp027303
PI4KA	amisp018773
PI4KB	amisp012597
ACP2	comp67404_c0_seq7
PIN1	amisp014820
PIN4	amisp031053
PIP4K2A	amisp013978
PITPNA	amisp020747
PITX1	amisp030854
PITX2	amisp020214
PITX3	amisp007341
PKD1	amisp023939
PKD2	amisp025589
PKLR	amisp000348
PKHD1	amisp028520
PKM	amisp033303
PKNOX1	amisp012784
PKP1	amisp016149
PKP2	amisp030014
PLA2G1B	amisp022488
PLA2G2A	amisp007587
PLA2G4A	amisp020407
PLA2G5	amisp007589
PLAG1	amisp007761
PLAGL1	amisp021895
PLAGL2	amisp021929
PLAT	amisp025397
PLAU	amisp035047
PLAUR	amisp027821
ATP6V0B	amisp023837
PLCB2	amisp013554
PLCB3	comp69366_c0_seq1
PLCB4	amisp033588
PLCD1	amisp007773
BCL11A	amisp009660
BTBD1	amisp003890
SPA17	comp46619_c0_seq2
IL17D	amisp001745
NUDT9	comp63010_c0_seq4
CHIC1	amisp006878
TM6SF2	amisp027252
TM6SF1	amisp003535
UBASH3A	amisp014018
ZFYVE1	amisp019402
PLCG1	amisp005379
LRP1B	amisp031524
PANK1	amisp005171
SHC3	amisp004311
PLCG2	amisp030352
PLD1	comp70202_c1_seq2
NUP54	amisp013262
TPCN1	amisp021477
PLEC	comp70755_c0_seq12
PLG	amisp016853
CLIC5	amisp021800
STX18	amisp031563
PLEK	amisp002261
SERPINF2	amisp028463
PLIN1	amisp005593
PLK1	amisp023981
FXYD1	amisp033258
FXYD3	amisp033255
ATP6V0A1	amisp007775
PLN	comp63424_c3_seq4
PLOD1	amisp011749
PLOD2	comp67364_c0_seq15
PLP1	comp47459_c0_seq1
PLP2	amisp017175
PLRG1	amisp024953
PLS1	amisp026891
PLS3	amisp014212
PLSCR1	amisp014781
PLTP	amisp025719
PLXNA1	amisp001412
MBD3	amisp031792
ADAM22	comp70125_c0_seq2
PLXNA2	amisp004258
PRKAG3	comp49765_c0_seq1
PLXNB1	amisp022325
PLXNB3	amisp030047
PMCH	amisp035149
PNOC	amisp000162
ATP6AP1	amisp033696
PML	comp65985_c2_seq4
PMM1	amisp004476
PMM2	amisp015857
PMP2	amisp014005
PMP22	amisp009724
PMS1	amisp020781
ATP7A	amisp008073
RIPPLY3	amisp030585
FXYD7	amisp033259
FXYD6	amisp027071
P2RY13	comp54641_c0_seq1
GPR84	amisp005539
IL20RA	amisp028306
IL20RB	amisp001156
FGFRL1	amisp012402
GPR87	comp330710_c0_seq1
C11orf24	amisp018270
CDHR5	amisp008135
CLDN22	amisp013198
ATP5O	amisp003987
MYO3A	amisp012022
RAB4B	amisp024024
RAB24	amisp011308
PELO	amisp014956
SLCO1C1	amisp034461
EXOSC9	amisp029756
PPIL3	amisp024221
EXOSC10	comp69480_c1_seq2
CNTN5	amisp005659
CSNK1G1	amisp011029
A4GALT	comp3200631_c0_seq1
PMS2	amisp018215
PRRX1	amisp003141
CPSF2	amisp015489
ACP5	amisp002360
ATP7B	amisp004547
BRWD1	amisp011111
SLC37A1	amisp017004
RBM11	amisp010739
PCBP3	comp69452_c1_seq13
C21orf58	amisp014966
YBEY	amisp016781
SMIM11	comp47943_c0_seq2
MIS18A	amisp031108
PNLIPRP1	amisp020568
TSPEAR	comp60670_c0_seq2
PNMT	amisp011798
SETD4	comp57413_c0_seq4
FAM3B	amisp030339
RIPK4	amisp021993
CLIC6	amisp010794
GSAP	amisp017379
POLE3	amisp000622
CHRAC1	amisp029584
PNN	amisp007100
GPR88	comp1218846_c0_seq1
UBL3	amisp025003
SEPT5	amisp012315
SEPT4	amisp035015
LURAP1	amisp020056
MRPL39	comp64286_c0_seq1
C21orf91	amisp034610
C8orf58	comp434936_c0_seq1
DCUN1D1	amisp018050
NANS	amisp026100
PODXL	amisp017107
CYCS	amisp003110
ERRFI1	amisp030414
KCNK10	amisp005160
TREM2	amisp019269
SNTG1	amisp004424
POLA1	amisp022253
SNTG2	amisp007244
POLB	amisp025401
POLD1	amisp034770
POLD2	amisp025518
POLE	amisp020759
POLE2	amisp001711
POLG	amisp028659
POLH	amisp034077
POLR2A	amisp018813
POLR2B	amisp006898
POLR2C	amisp002303
GPR173	amisp003065
GPR85	comp45987_c0_seq2
POLR2D	amisp031343
GNG2	amisp024230
GDAP1	amisp013980
POLR2E	amisp032431
DPM3	amisp000361
SOX18	amisp007378
UNC93A	amisp004501
POLR2F	amisp017895
POLR2G	amisp016542
CYTL1	amisp012133
WNT4	amisp006598
HAO1	amisp026954
POLR2H	amisp020828
POLR2I	amisp025291
TERF2IP	amisp009817
POLR2J	amisp029138
POLR2K	comp91436_c0_seq1
SLC38A2	amisp026781
POLR2L	amisp016255
NLGN3	comp68598_c1_seq1
SIAE	comp1799662_c0_seq1
POLRMT	amisp032463
POMC	amisp003347
DNAJC10	amisp023428
YIPF1	amisp004466
GAR1	amisp030951
SSH1	amisp025927
SH3TC1	amisp031882
SEMA5B	amisp000776
GFOD1	amisp022412
RBM27	amisp000211
SASH3	comp64920_c1_seq15
KCTD5	amisp024009
ANLN	amisp032500
PON2	amisp030647
RIN2	amisp017352
ATAD2B	comp66680_c0_seq2
FBXO42	amisp008678
MOV10L1	amisp003603
MRPS21	amisp023091
FBXW5	amisp022760
CCSER2	comp65448_c1_seq1
FAM134B	comp64393_c0_seq2
XRN1	amisp026896
ETAA1	amisp005638
ANKIB1	comp66605_c1_seq2
MIOS	comp65590_c0_seq2
ZFAND6	amisp026303
POR	amisp023141
SMCR7L	amisp020535
TOLLIP	amisp019148
NLE1	amisp016270
RNF216	amisp004946
PLEKHA5	comp70581_c0_seq34
FAM64A	amisp008162
CHPF2	amisp007266
TRMT13	amisp013623
DGCR8	amisp012298
POU1F1	amisp012867
FAM105A	amisp019085
NEURL1B	amisp032653
TMX3	amisp012636
PRMT7	amisp028375
HEATR5B	amisp004042
SMOX	amisp015641
TMCO1	amisp034680
ATR	amisp026892
POU2AF1	amisp010407
RBM47	amisp009038
ZDHHC13	amisp024918
CPVL	amisp016885
DHX29	amisp021549
RHOF	comp216406_c0_seq1
POU2F1	amisp011904
PCDH18	amisp027223
HMGCLL1	amisp001351
EXOSC4	comp48330_c0_seq1
DDX4	amisp021541
MTRF1L	amisp004533
PUS7	amisp014183
APBB1IP	amisp009080
POU2F2	amisp026215
CCDC93	amisp026714
WDR44	amisp023129
ANKRD16	amisp000468
ASNSD1	amisp028727
MIER2	amisp013141
USP53	amisp022243
MRPL50	amisp018516
CCHCR1	comp70461_c0_seq28
EXOC6	comp66265_c0_seq2
FAM35A	amisp034106
ROBO4	amisp017866
NDUFB11	amisp010811
POU3F2	amisp013435
FAM193B	amisp011312
DDIT4	amisp033668
RC3H2	comp68254_c0_seq8
TOMM7	comp70042_c1_seq36
MTMR12	amisp008365
RNF186	comp13318_c0_seq1
POU3F3	amisp014132
NECAB2	amisp029528
GNL3L	amisp017170
DDX49	comp56396_c0_seq1
ING3	amisp014946
SGTB	amisp006672
SPATA6	amisp020443
POU3F4	comp54403_c0_seq1
EPB41L4B	comp67008_c0_seq8
DLL4	amisp009151
UGT1A6	amisp011172
POU4F2	amisp004731
EGLN1	amisp012542
GNB1L	amisp012308
LZTFL1	amisp023670
MXRA8	amisp030884
POU4F3	amisp000213
ATRX	amisp008079
NDFIP2	amisp006789
DDX56	amisp002176
INO80	amisp003487
CCNJ	amisp007506
FBXL19	amisp011148
VSIG10	comp67794_c0_seq6
ARL15	comp71063_c0_seq1
PAF1	amisp000444
PARP14	amisp001478
HES2	comp35497_c0_seq2
MAP10	amisp012555
FAM63B	amisp021030
POU6F1	amisp004211
PPA1	amisp033662
PPARA	amisp000686
UGT1A1	comp63929_c0_seq4
TBC1D13	amisp024851
WDR74	amisp016575
TMEM106B	amisp019874
RSBN1	amisp033196
PPARD	amisp031985
LRRN3	comp51028_c0_seq1
CRLS1	amisp000454
GTPBP2	amisp034076
CROT	amisp002978
PPARG	amisp024383
ZNHIT6	comp59776_c0_seq1
P4HTM	amisp022281
MANSC1	amisp000613
MED1	amisp010609
KIF1A	comp70326_c6_seq38
PPEF2	amisp013261
RRN3	amisp025796
PDP1	amisp006945
GPN2	amisp008485
MARCH5	amisp021871
PPAT	amisp016165
CNGB3	amisp003914
RBFOX1	comp68808_c0_seq13
SLC6A20	amisp023671
OTUD4	amisp028074
SLC35F2	amisp014989
RAB39A	comp66178_c0_seq1
MPHOSPH8	comp66278_c1_seq1
FEV	amisp004835
XAF1	amisp021941
LEPROT	amisp025846
EPDR1	amisp013120
PPEF1	amisp021568
FBLIM1	amisp018856
FNDC8	amisp026952
ZNF853	amisp034408
IL17RD	amisp012065
FAM20A	amisp012428
KLHDC4	amisp031222
CTSA	amisp025718
GRAMD1C	amisp014690
ZRANB1	amisp013704
TRIM44	amisp026841
BTG4	amisp010403
HYDIN	comp68459_c0_seq2
DIRAS2	amisp026056
PPP1R12C	amisp018903
TTC40	amisp017759
RNF111	comp68003_c0_seq2
PPIA	amisp014417
NSMCE4A	amisp032837
ALKBH4	amisp029134
C17orf59	comp408478_c0_seq1
DNAJB12	amisp033669
PPIB	amisp011026
TET2	amisp020608
KCTD9	amisp007677
TRPM4	comp59388_c0_seq2
BNC2	amisp024765
MED18	amisp016644
DCHS2	amisp024954
MBTD1	amisp000052
PPIC	amisp011993
KLHL24	amisp004973
HAUS6	amisp031408
TRIT1	amisp028990
CNNM2	amisp002082
AHI1	amisp026933
DYM	amisp027920
PPID	amisp016135
GIPC2	amisp023693
AFTPH	amisp012999
KLHL28	amisp003654
GATAD2A	amisp027249
ZNF280D	comp68111_c0_seq8
ZCCHC10	comp64677_c0_seq1
NDE1	amisp025781
ERCC6L	amisp031051
TRPM7	amisp013811
SWT1	amisp028313
CDHR2	amisp025462
GIN1	amisp007881
BCAS3	comp69554_c0_seq1
ASPN	comp63695_c1_seq1
BEST2	amisp002332
VPS13C	comp69347_c2_seq1
GDAP2	amisp002820
BSPRY	amisp000625
WBP1L	comp63334_c0_seq6
LRRC49	amisp029064
APTX	comp68568_c1_seq10
BIVM	amisp013409
MFSD6	comp66115_c1_seq3
SYTL2	comp68740_c1_seq4
ESRP1	amisp026375
ARHGEF38	amisp020612
DEF8	amisp030094
FBXL12	amisp014818
ANKRD49	amisp019068
PAQR5	comp69692_c0_seq2
WDR55	amisp030965
FAM83E	amisp022664
FAM46C	amisp002821
GON4L	amisp030201
GDPD2	amisp009792
PGPEP1	amisp027292
ELP6	amisp007088
SLX1A	amisp016287
CKMT1A	amisp018551
MS4A12	amisp005314
SNRK	amisp004231
CC2D1A	amisp014053
TOR4A	amisp026116
DNAJC25	amisp004495
GPATCH4	amisp006001
PPP1R14D	amisp003944
TMEM214	comp69436_c0_seq1
TMEM104	amisp022439
EPS8L1	amisp018906
QRICH1	amisp022288
PIGG	amisp022717
PALMD	amisp019660
FNBP1L	comp63914_c0_seq10
CNTLN	amisp024762
ZCCHC2	amisp006782
DPP8	amisp000696
ST7L	amisp027099
BCOR	comp68385_c0_seq6
TEX10	amisp006740
ANKHD1	comp64514_c0_seq2
CWC25	amisp007914
RETSAT	amisp017484
TBC1D8B	amisp005356
LPPR1	amisp018519
UHRF1BP1	amisp032001
NSUN2	amisp030192
ALKBH5	comp69878_c8_seq2
INO80D	amisp020401
NCAPG2	amisp018198
MTMR10	amisp018760
RNF43	amisp034999
PQLC2	amisp022403
CASZ1	amisp011782
ELOVL2	amisp035070
PXK	comp69585_c0_seq14
AUH	amisp020643
CDKAL1	amisp029662
TTC19	amisp000962
MKS1	amisp012702
WHSC1L1	amisp032857
CYP2W1	amisp004636
FAM208B	comp70272_c0_seq4
SPDL1	amisp019369
SEMA4C	amisp025513
RPP25	amisp004786
FOCAD	amisp031088
YTHDF1	amisp018739
TMEM260	amisp005599
CMTM6	amisp021540
HEATR2	amisp029216
DUS2	amisp026146
CHTF8	amisp030085
RASIP1	amisp022682
UBE2R2	amisp012281
CHCHD3	amisp012803
IMPAD1	amisp012474
TMEM161A	amisp027261
PPL	amisp024863
HAUS4	amisp020891
TRMT10C	amisp030221
EXD3	amisp022746
RHBDL2	comp64988_c0_seq4
KANSL2	comp69387_c0_seq5
DUSP23	amisp029237
ADPRHL2	amisp002879
SARS2	amisp002052
COMMD4	comp69036_c1_seq1
PPM1A	comp64598_c5_seq3
OCIAD1	amisp028831
RNF125	amisp028507
FAM206A	amisp018596
DNAJC28	amisp017909
LPCAT2	comp68457_c0_seq3
MRPL16	amisp005322
SDHAF2	amisp032390
COMMD8	amisp014766
TRNAU1AP	amisp028286
C1orf27	amisp028325
PARP16	comp56200_c0_seq2
TXNL4B	amisp030223
TMEM160	comp57035_c0_seq1
PPM1G	amisp008727
GEMIN8	amisp002665
SSH3	comp61420_c0_seq1
TIPIN	amisp011982
UCKL1	amisp007385
C1orf56	amisp012567
PIGX	amisp031419
TMEM70	comp64422_c0_seq8
C4orf27	amisp014720
TTC12	amisp019033
BANP	amisp000830
TMEM132A	amisp028713
CPSF3L	amisp023307
THG1L	amisp014927
C20orf27	amisp007003
SLC25A38	amisp004738
SLC35F6	amisp034419
C2orf42	amisp023019
NMRK1	comp69141_c2_seq31
CLN6	comp67462_c0_seq1
PINX1	comp61793_c0_seq1
HCFC1R1	amisp011132
ULK4	amisp028398
C1orf123	amisp010908
ZNF770	comp56346_c0_seq1
PPP1CA	amisp027965
C1orf159	amisp023336
ZSCAN2	comp68711_c0_seq12
GID8	amisp018729
OXSM	amisp028164
MARC2	amisp015870
TESC	comp66951_c0_seq13
AURKAIP1	amisp030883
ACPP	amisp005422
AUP1	amisp025323
PPP1CB	amisp020915
TTC22	amisp004444
TMCO3	amisp033100
PAK1IP1	amisp022413
LAMTOR1	amisp031513
RMND1	amisp005703
TRMT61B	amisp033493
HERC6	amisp028837
C19orf24	amisp032415
PPP1CC	comp55968_c0_seq1
PARPBP	amisp035147
PIH1D1	amisp027548
PPP2R3C	amisp027899
CCDC109B	amisp004186
STX17	amisp006735
PRPF39	amisp003647
MARCH1	comp69858_c1_seq9
PPP1R1A	amisp005548
TTC38	amisp000602
PID1	comp46601_c0_seq1
PHIP	amisp001078
BANK1	amisp018781
TMEM255A	amisp034926
HEATR3	amisp033763
FBXO34	amisp008759
USP47	comp70087_c1_seq1
SLC35A5	amisp019352
FKBP14	amisp024993
MOCOS	amisp013749
NOL8	amisp016115
CCDC40	amisp020365
PTCD3	amisp021767
CDCA4	amisp031678
TRMT12	amisp014244
PPP1R2	amisp015240
EPN3	comp60583_c1_seq1
PLEKHB2	amisp020596
VPS37C	amisp028705
C19orf60	amisp027285
NRDE2	amisp010361
MRPL20	amisp030878
ATG16L1	comp68245_c0_seq23
ZWILCH	amisp011986
AIM1L	comp59224_c0_seq1
PPP1R3A	amisp006299
SUSD4	amisp002903
WIPI1	amisp012430
CCDC157	amisp006105
SPATA6L	amisp017791
SLC52A1	amisp026768
PDPR	amisp003549
ENOX1	amisp009051
TMEM248	amisp021952
PPP1R3C	amisp002743
DET1	amisp028674
C9orf40	comp61570_c0_seq2
RNF31	amisp013859
OXR1	comp57235_c0_seq1
UACA	comp69657_c0_seq2
TMEM45A	amisp026670
FEZF2	amisp012119
TAPBPL	amisp030610
IFT57	amisp035189
ARGLU1	amisp026022
KIF26B	amisp001944
SOBP	amisp015985
CXorf57	amisp019636
C10orf118	amisp020506
SLC38A4	amisp023108
PPP1R3D	amisp008583
MED9	amisp024261
TMEM51	amisp001165
WDYHV1	amisp008790
GPATCH1	amisp015714
SAMD4B	amisp000443
AVP	amisp034472
PPP1R7	amisp031449
WDR70	amisp016194
ATP5SL	comp59844_c0_seq1
ATG2B	amisp006434
RALGPS2	amisp020147
GPATCH2	amisp012015
ANO1	amisp012290
BSDC1	amisp019488
AGGF1	amisp002779
PPP1R8	amisp009234
MAGOHB	amisp010907
PLEKHJ1	amisp003500
WDR60	amisp026432
XKR8	amisp009239
ARHGAP17	comp68121_c0_seq11
TMEM39B	amisp019511
SLC6A15	comp67980_c1_seq1
CRTAC1	amisp008093
PRPF38B	amisp001447
FANCL	amisp016372
AKIRIN2	amisp032869
PIWIL2	amisp029809
CEP192	amisp012344
HEATR1	amisp011665
ANO10	comp68279_c0_seq2
ARMC4	amisp005784
RBM28	amisp021761
LARP1B	amisp013452
SRBD1	amisp009607
WRAP53	amisp018808
FIGN	amisp035085
ANKZF1	amisp017626
PPP1R10	amisp017193
ELP3	amisp000168
HAUS2	amisp010868
CDCA8	amisp028754
LRRC8D	comp47107_c0_seq1
THAP1	comp59100_c0_seq1
ZDHHC4	amisp023950
RBM23	amisp020889
UBR7	amisp033684
MTPAP	amisp016600
PPP2CA	amisp030834
TMEM38B	amisp032661
DALRD3	amisp022284
SDAD1	amisp013259
MSTO1	amisp030199
ARMC1	amisp023873
DARS2	amisp034689
RFWD3	amisp003554
PPP2CB	comp79133_c0_seq1
ARHGEF10L	comp70341_c0_seq4
TMEM33	amisp019608
PNPO	amisp032068
SHQ1	amisp032818
CEP55	amisp013599
CENPQ	amisp026339
MSL2	amisp026267
MRPS18A	amisp034070
TBCCD1	amisp013370
DNAAF2	amisp001710
MRPS10	amisp028249
INTS10	amisp020176
KLHL11	amisp008193
SEC61A2	amisp009563
RMDN3	amisp011844
RNMTL1	amisp014838
FAIM	amisp001472
PPP2R1A	amisp008056
LINS	amisp005754
SMG8	amisp005896
RNF220	comp64120_c0_seq1
RIF1	amisp012054
DZANK1	amisp004628
SLC25A36	amisp018834
VPS13D	comp70657_c2_seq1
RIC8B	comp31467_c0_seq1
NADSYN1	amisp024913
DNAJC17	amisp003941
PBRM1	comp67775_c0_seq1
EVA1B	amisp028777
C14orf105	comp52386_c1_seq2
KIAA1551	amisp034443
RPRD1A	comp69770_c1_seq14
APPL2	amisp015604
AVPR1A	amisp017657
PPP2R2A	amisp024950
LGI2	amisp000177
GOLPH3L	amisp023078
ZNF532	amisp013041
SBNO1	amisp015354
ARL8B	comp62851_c0_seq1
DCUN1D2	amisp033101
SETD5	amisp022322
PPP2R2B	comp57243_c0_seq1
ATAD3A	amisp030870
BBS7	amisp029759
RCBTB1	amisp028432
LEPREL1	comp70274_c0_seq13
FANCI	comp69975_c1_seq21
C11orf57	amisp007523
TMLHE	amisp001265
EXD2	amisp001551
TMEM57	amisp023254
PPP2R2C	amisp025638
KLHDC8A	amisp025684
LRRC20	amisp033656
TRIM62	amisp006393
ETNK2	amisp012002
RAVER2	amisp001781
NAT10	amisp023497
LRRC1	amisp001342
PANK4	amisp025358
PPP2R3A	comp68738_c0_seq7
USP40	amisp011173
CCDC87	comp49333_c0_seq1
MOB1A	amisp024607
SMU1	amisp015836
UBA6	amisp015291
VRTN	amisp007125
SLC38A7	amisp024181
OGFOD1	amisp019750
PPP2R4	amisp012382
STEAP3	amisp004330
KIRREL	amisp030466
SLC47A1	comp69579_c0_seq34
UQCC	amisp000713
CCDC25	amisp025474
NEIL3	amisp028386
TMEM206	amisp003858
PPP2R5A	amisp003859
ELP2	amisp016888
PCMTD2	amisp018308
ASXL2	amisp031760
TYW1	amisp029637
TMEM39A	amisp011083
WDR41	amisp002782
ADI1	amisp029866
MRGBP	amisp010198
THNSL2	amisp017235
CASC1	amisp003630
PPP2R5B	comp56364_c1_seq1
TMEM143	amisp034879
C7orf43	comp61619_c0_seq2
TMEM19	amisp010529
ECHDC2	amisp007067
PSPC1	amisp031700
PPP2R5C	comp60328_c0_seq1
NUDT15	amisp008028
IMP3	amisp021817
TMEM100	amisp019163
PHF10	amisp035137
VPS53	amisp014845
PGM2	amisp027811
FGGY	comp67576_c0_seq10
QRSL1	amisp031323
ZNF654	amisp027924
PPP2R5D	comp70642_c4_seq8
CWF19L1	amisp028280
TMEM140	comp62136_c0_seq2
MCOLN3	comp56240_c0_seq1
UBE2W	amisp021818
RBM41	amisp027651
C4orf19	comp531441_c0_seq1
TMEM40	amisp001440
RHOT1	comp60877_c1_seq4
PPP2R5E	amisp015249
BRF2	amisp020049
PPP6R3	comp68269_c2_seq9
UEVLD	amisp011192
FBXW7	comp64884_c2_seq2
KLHL26	amisp027281
TBC1D19	amisp000202
CCDC91	amisp033005
RNF121	amisp031518
BRIX1	amisp026389
AVPR1B	amisp002758
PPP3CA	comp59291_c0_seq1
PI4K2B	amisp000182
OLAH	amisp002975
GIMAP4	amisp032403
SPTLC3	amisp031970
PPP4C	amisp023567
PEF1	amisp019521
RFK	amisp033451
CPPED1	amisp018961
TMEM144	amisp016131
SLC29A3	amisp009729
RSAD1	amisp000084
AP5S1	amisp019567
TMA16	amisp024856
PPP3CB	comp67221_c2_seq6
MIS18BP1	amisp003640
C5orf22	amisp026483
LARP6	amisp029063
ABCF3	amisp020847
UFSP2	amisp027682
AGPAT5	amisp001320
LIN7C	amisp020471
RNLS	amisp021623
MNS1	amisp004811
PPP3CC	comp69221_c0_seq2
BLOC1S4	amisp018592
ACER3	amisp002485
DRAM1	amisp035143
SYNJ2BP	amisp007082
SLC39A9	amisp028851
FBXL8	comp65655_c0_seq7
WDR33	comp70255_c0_seq2
PPP3R1	comp29442_c1_seq1
LSG1	amisp013702
STRBP	amisp020131
SLC35C1	amisp001859
PLCXD1	amisp005451
C4orf21	amisp012327
TCP11L1	amisp024687
ABHD10	amisp024078
CHDH	amisp017922
STK32B	amisp012134
COPRS	comp52159_c0_seq1
LAPTM4B	amisp004094
HJURP	amisp008911
SLC22A15	amisp011077
STYK1	amisp013689
PPP5C	amisp031209
PI4K2A	amisp008098
TMEM63B	comp70740_c3_seq7
IMPACT	amisp021389
LGR4	amisp020469
PIDD	amisp016246
PPP6C	amisp022983
TMCO6	amisp030968
LRRC59	amisp000088
PPT1	amisp028997
MCM10	amisp027432
C17orf85	amisp021948
ASPDH	amisp032268
GPALPP1	amisp028473
FBXO48	amisp002263
HIST2H4B	amisp032272
YOD1	amisp029394
AP1AR	comp69199_c0_seq2
STRADB	amisp033628
CAMK2N1	comp29538_c0_seq1
CSGALNACT2	amisp033560
PRCC	comp60872_c0_seq4
DNAJA4	amisp024790
PRCP	amisp026353
NDUFAF7	amisp018460
PARL	amisp004978
PRELP	amisp004652
PREP	amisp018506
ETNK1	amisp016488
CHST12	amisp004264
HES6	amisp008435
TRPV6	amisp010438
TNFRSF19	amisp026420
NOP10	comp88085_c0_seq1
H2AFY2	amisp016059
SLC35E3	amisp029936
BATF3	amisp003854
PRF1	comp46023_c0_seq1
DDX43	amisp005340
SMPD3	amisp025760
ASIC4	amisp017644
SRGN	amisp010513
ELAC1	amisp023743
TRIM36	amisp022728
DHTKD1	amisp015097
FEM1A	amisp034625
TMEM55A	amisp022116
PRG2	amisp004667
SVOP	amisp025930
ELMOD1	comp69626_c2_seq3
SLC30A10	amisp000844
MAML3	amisp029696
CDCA7L	amisp023131
IL17RB	amisp000810
RBM38	amisp021397
SOX6	amisp022125
KLK15	amisp035238
ENOSF1	amisp029677
HAUS7	amisp033706
ZNF821	amisp009824
DNAH3	amisp014605
GALNT10	amisp010086
PRIM1	amisp011361
CNOT11	amisp009172
FOXRED1	amisp001932
CDV3	amisp023663
STAB2	amisp026818
NAGK	amisp004384
SUPT20H	amisp023899
PRIM2	amisp032166
KIF27	amisp002464
CHRNA9	amisp015023
UBE2Q1	amisp000387
MIOX	amisp035025
MED29	amisp000445
BMP2K	amisp017873
VEZT	amisp033571
OTUD5	amisp030030
ZCCHC8	amisp031620
RNPC3	amisp017523
DDX60	amisp014704
CDKN2AIP	comp62420_c0_seq1
FAM46A	amisp004705
LRRC16A	amisp001251
KIF21A	comp65106_c0_seq10
PPP1R9A	comp69697_c0_seq7
ANKRD10	comp70435_c1_seq16
CCDC132	amisp013403
OTUB1	comp69268_c0_seq1
FERMT1	amisp000452
MTMR8	amisp029099
KIF16B	amisp006995
PRR5	comp69060_c1_seq1
ASAP3	amisp020153
TASP1	amisp017978
DOCK10	amisp024533
PRKAA1	amisp010768
STAP2	amisp032363
TRMT1	amisp014071
TTC27	amisp021853
THUMPD1	amisp014616
POMGNT1	amisp020057
ZDHHC7	amisp016611
AMBRA1	comp67422_c1_seq3
SMPD4	comp65249_c0_seq6
ZNF407	amisp013582
PNRC2	amisp029014
PRKAA2	amisp015275
SLC39A4	amisp026764
LRRC40	amisp034312
G2E3	amisp018114
TBC1D22B	amisp025028
DEPDC1	amisp024341
CHD7	amisp021747
SYBU	amisp004367
PRKAB1	amisp006026
FLVCR2	amisp007160
BTBD2	amisp017019
OSGEP	amisp015333
LYAR	amisp031559
RAB20	amisp009901
PRKAB2	amisp001979
PIGV	amisp008491
NHP2	amisp011327
SLC48A1	amisp012073
BCAS4	comp47019_c0_seq2
TMEM127	amisp002164
INTS8	amisp026381
ZNF692	amisp021697
RNF126	amisp032461
PRKACA	amisp002916
PRPF40A	amisp017098
DDX27	amisp013309
HIF1AN	amisp016033
